חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
1,4.80%,0.00%,100000,525,125,400,0,0,0,99822
2,4.80%,0.00%,99875,525,125,400,0,0,0,99643
3,4.80%,0.00%,99750,525,126,399,0,0,0,99463
4,4.80%,0.00%,99625,525,126,398,0,0,0,99283
5,4.80%,0.00%,99498,525,127,398,0,0,0,99102
6,4.80%,0.00%,99372,525,127,397,0,0,0,98921
7,4.80%,0.00%,99244,525,128,397,0,0,0,98738
8,4.80%,0.00%,99117,525,128,396,0,0,0,98555
9,4.80%,0.00%,98989,525,129,396,0,0,0,98371
10,4.80%,0.00%,98860,525,129,395,0,0,0,98187
11,4.80%,0.00%,98731,525,130,395,0,0,0,98002
12,4.80%,0.00%,98601,525,130,394,0,0,0,97816
13,4.80%,0.00%,98471,525,131,394,0,0,0,97629
14,4.80%,0.00%,98340,525,131,393,0,0,0,97442
15,4.80%,0.00%,98209,525,132,393,0,0,0,97254
16,4.80%,0.00%,98077,525,132,392,0,0,0,97066
17,4.80%,0.00%,97944,525,133,392,0,0,0,96876
18,4.80%,0.00%,97811,525,133,391,0,0,0,96686
19,4.80%,0.00%,97678,525,134,391,0,0,0,96495
20,4.80%,0.00%,97544,525,134,390,0,0,0,96303
21,4.80%,0.00%,97410,525,135,390,0,0,0,96111
22,4.80%,0.00%,97275,525,136,389,0,0,0,95918
23,4.80%,0.00%,97139,525,136,389,0,0,0,95724
24,4.80%,0.00%,97003,525,137,388,0,0,0,95529
25,4.80%,0.00%,96866,525,137,387,0,0,0,95334
26,4.80%,0.00%,96729,525,138,387,0,0,0,95138
27,4.80%,0.00%,96591,525,138,386,0,0,0,94941
28,4.80%,0.00%,96453,525,139,386,0,0,0,94744
29,4.80%,0.00%,96314,525,139,385,0,0,0,94545
30,4.80%,0.00%,96175,525,140,385,0,0,0,94346
31,4.80%,0.00%,96035,525,141,384,0,0,0,94146
32,4.80%,0.00%,95894,525,141,384,0,0,0,93946
33,4.80%,0.00%,95753,525,142,383,0,0,0,93744
34,4.80%,0.00%,95612,525,142,382,0,0,0,93542
35,4.80%,0.00%,95469,525,143,382,0,0,0,93339
36,4.80%,0.00%,95327,525,143,381,0,0,0,93136
37,4.80%,0.00%,95183,525,144,381,0,0,0,92931
38,4.80%,0.00%,95039,525,145,380,0,0,0,92726
39,4.80%,0.00%,94895,525,145,380,0,0,0,92520
40,4.80%,0.00%,94750,525,146,379,0,0,0,92313
41,4.80%,0.00%,94604,525,146,378,0,0,0,92105
42,4.80%,0.00%,94458,525,147,378,0,0,0,91897
